RptDt;TckrSymb;SctyId;SctySrc;MktIdrCd;ISIN;FrstPric;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;TradQty;MktDataStrmId;NtlFinVol;IntlFinVol;FinInstrmQty;BestBidPric;BestAskPric;RglrTxsQty;NtlRglrVol;IntlRglrVol;MaxTradLmt;MinTradLmt;OpnIntrst;NonRglrTxsQty;RglrTraddCtrcts;NonRglrTraddCtrcts;NtlNonRglrVol;IntlNonRglrVol
2018-06-25;CIELI16;200000190287;8;BVMF;BRCIEL3I09W1;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI165;200000187352;8;BVMF;BRCIEL3I09I0;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI17;200000190351;8;BVMF;BRCIEL3I09X9;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI18;200000190198;8;BVMF;BRCIEL3I09Z4;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI182;200000187354;8;BVMF;BRCIEL3I09K6;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI19;200000190223;8;BVMF;BRCIEL3I0A13;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI20;200000190502;8;BVMF;BRCIEL3I0A39;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI40;200000190869;8;BVMF;BRCIEL3I09M2;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI41;200000190192;8;BVMF;BRCIEL3I09O8;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI42;200000190868;8;BVMF;BRCIEL3I09Q3;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI43;200000190160;8;BVMF;BRCIEL3I09S9;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI44;200000190217;8;BVMF;BRCIEL3I09U5;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI47;200000190234;8;BVMF;BRCIEL3I09Y7;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI48;200000190870;8;BVMF;BRCIEL3I0A05;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELI49;200000190877;8;BVMF;BRCIEL3I0A21;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELJ205;200000170761;8;BVMF;BRCIEL3J08U5;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELJ225;200000170764;8;BVMF;BRCIEL3J08T7;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELK2;100000094700;8;BVMF;BRCIEL3K08T5;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELK76;100000094702;8;BVMF;BRCIEL3K08U3;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELL16;200000194268;8;BVMF;BRCIEL3L09G8;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELL170;200000176445;8;BVMF;BRCIEL3L09D5;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELL187;200000176476;8;BVMF;BRCIEL3L09E3;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELL200;200000176536;8;BVMF;BRCIEL3L09F0;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS133;200000190939;8;BVMF;BRCIEL3S0A04;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS136;200000191048;8;BVMF;BRCIEL3S0A12;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS138;200000191290;8;BVMF;BRCIEL3S0A20;0.15;0.15;0.15;0.15;0.15;-25;1;Electronic (default);750;199.09;5000;;0.19;1;750;199.09;;;;;5000;;;
2018-06-25;CIELS141;200000191175;8;BVMF;BRCIEL3S0A38;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS146;200000189678;8;BVMF;BRCIEL3S09Z3;0.35;0.32;0.35;0.32;0.32;10.34;2;Electronic (default);361;95.82;1100;;;2;361;95.82;;;;;1100;;;
2018-06-25;CIELS15;200000176368;8;BVMF;BRCIEL3S09W0;0.6;0.45;0.6;0.51;0.45;-22.41;12;Electronic (default);22973;6098.32;44300;;0.6;12;22973;6098.32;;;;;44300;;;
2018-06-25;CIELS153;200000187263;8;BVMF;BRCIEL3S09X8;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS156;200000187272;8;BVMF;BRCIEL3S09Y6;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS16;200000172131;8;BVMF;BRCIEL3S09L3;1.11;0.99;1.11;1.01;0.99;-11.6;3;Electronic (default);606;160.86;600;0.99;1.11;3;606;160.86;;;;;600;;;
2018-06-25;CIELS17;200000172162;8;BVMF;BRCIEL3S09N9;;;;;;;;;;;;1.75;;;;;;;;;;;;
2018-06-25;CIELS18;200000172147;8;BVMF;BRCIEL3S09P4;;;;;;;;;;;;0.08;;;;;;;;;;;;
2018-06-25;CIELS19;200000172187;8;BVMF;BRCIEL3S09R0;;;;;;;;;;;;0.05;;;;;;;;;;;;
2018-06-25;CIELS193;200000176366;8;BVMF;BRCIEL3S09U4;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS20;200000172182;8;BVMF;BRCIEL3S09C2;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS203;200000176367;8;BVMF;BRCIEL3S09V2;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS21;200000172239;8;BVMF;BRCIEL3S09E8;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS22;200000172199;8;BVMF;BRCIEL3S09G3;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS23;200000172271;8;BVMF;BRCIEL3S09H1;;;;;;;;;;;;;;;;;;;;;;;;
